概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
奢侈,"社会, 经济",过分享受奢华生活，古代常以为败德之源。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
奢泰,"社会, 政治, 礼制",奢侈过度，逾越礼制，无节制地耗费财力。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
奢淫,"品性, 社会",奢淫，奢侈淫逸，生活糜烂。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
奢豪,"品性, 社会",奢侈豪华，挥霍无度。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
奢靡,"社会, 经济, 政治",奢侈靡费，耗费财力物力，通鉴以奢靡为乱政亡国之徵。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
女乐,"文化, 音乐, 礼制",女子乐队或歌舞表演，古代宫廷及贵族享乐的重要方式,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
奴_(概念),"文化, 社会, 奴",奴隶、奴仆。人奴产子为秦末征发之兵，匈奴为北方游牧之族。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奴婢,社会阶层,古代丧失人身自由的男女仆役,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奸_(概念),"文化, 伦理, 奸, [[佞_(概念)|佞]]、[[邪]]、[[贤_(_概念)|贤]]、[[忠]]",奸邪、奸诈，为道德评价中最为负面之品性。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
奸佞,"人物, 社会",奸邪谄媚之人。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奸凶,"人物, 社会",奸诈凶狠之人。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奸回,"人物, 社会",奸邪不正，邪恶之人或行径。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奸宄,"人物, 社会",犯法作乱的坏人，内奸为奸，外盗为宄。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奸慝,"人物, 社会",邪恶、奸诈，亦指奸恶之人。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奸臣,"政治, 道德",奸臣，奸佞之臣；奸臣当道为乱政之象，去奸任贤为治国之要。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
奸邪,"人物, 社会",奸诈邪恶之人或行为。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
好学,"品行, 教育, 褒词",喜爱学习，勤于求知，通鉴以好学为人物褒美之常用语。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
好谋而成,"成语, 治国",善于谋划而能成功。,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
妃_(概念),"文化, 社会, 妃",妃嫔、后妃。妃匹之际为生民之始，后妃有贞淑之行则胤嗣有贤圣之君。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妃嫔,"宫禁, 后妃",帝王后宫中的众妾侍。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妄自菲薄,"成语, 三国, 东晋",过分看轻自己，自轻自贱；出自诸葛亮出师表、谢安劝王蕴,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
妄言,"行为, 言语",轻率或虚妄的言论，胡说。,民族,保留为独立父概念，下辖具体古代民族部落,古代民族部落是独立的知识领域,否,建议确认「民族·部落」是否作为新的独立父概念,中
妄语,"行为, 言语",虚妄不实之言，胡说。,民族,保留为独立父概念，下辖具体古代民族部落,古代民族部落是独立的知识领域,否,建议确认「民族·部落」是否作为新的独立父概念,中
妖,"思想, 刑法, 言论",妖言、妖异；为妖言以乱黔首为始皇坑儒之由，除妖言令为汉文帝之仁政。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
妖异,"妖异, 灾异, 方术",古代指怪异反常的事物或现象。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
妖星,"汉, 魏晋, 天文",妖星，古人以为预示灾异之星象,天文,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
妖术,"社会, 宗教",旁门左道之术，用以惑众敛财。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妖祥,"社会, 迷信",妖祥，凶兆与祥瑞，异常征兆,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妖贼,"社会, 叛乱",以妖术邪说聚众作乱的贼寇。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妙,"思想, 评价",妙，奥妙、精妙、美妙；微妙以节为兵家之略。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
妣_(概念),"文化, 礼制, 妣",先妣、皇妣。皇妣为帝王追尊亡母之称，先妣为庙祭之辞。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
妪_(概念),"文化, 社会, 妪",老妪、老妇。老妪哭蛇为高祖赤帝子之谶，何物老妪生宁馨儿为山涛之叹。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妹_(概念),"礼制, 称谓, 妹",妹妹，同辈年幼女性,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
妻_(概念),"文化, 社会, 妻",妻子、妻妾。家贫思良妻国乱思良相为李克论相之语，杀妻求将为吴起残忍之行。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妻妾,"社会, 礼制",正妻与妾室，古代婚姻制度中一夫多妻的等级关系。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
妻子,"人伦, 社会, 家庭",妻室与子女。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妾,"社会, 制度",妾，古代一夫多妻制下之侧室；通鉴记吴起吮卒妻妾不知其死所，商君令明尊卑爵秩各以差次名田宅臣妾。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
妾_(概念),"文化, 称谓, 社会, 妾, [[妻_(概念)|妻]] | [[婢_(概念)|婢]] | [[姬_(概念)|姬]] | [[媵_(概念)|媵]] | [[妇_(概念)|妇]]",古代女子的谦称；亦指侧室、侍妾,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
姊_(概念),"礼制, 称谓, 姊",姐姐，同辈年长女性,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
始,"哲学, 政治",始，开始、起始；慎始敬终为君子之道，始作俑者其无后乎。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
始元,"年号, 汉昭帝, 西汉",汉昭帝第一个年号（前86—前80），共七年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
始末,"哲学, 语言",始末，从头到尾的经过，古代指事情之原委全过程。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
始终如一,"成语, 治道, 战国, 十六国",从始至终一个样，形容坚持不变；出自荀卿论将道、燕主盛赞李旱,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
姑_(概念),"礼制, 称谓, 姑",姑母，父之姐妹,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
姑息,"政治, 术语",姑息，意为无原则地宽容迁就，常指朝廷对藩镇或权臣的纵容政策,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
姓,"社会, 文化",姓，姓氏宗族；百姓为民众统称，同姓名者为曾参杀人喻，百姓不信为政治之危。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
姓_(概念),"文化, 社会, 姓, [[宗_(概念)|宗]]、[[族_(概念)|族]]、[[氏_(概念)|氏]]、[[谱_(_概念)|谱]]、[[裔_(_概念)|裔]]",姓氏、百姓，为表明家族系统之称号。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
